source,frame_index,visible,x1,y1,x2,y2,note
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f3_mini_e/eo/2_minie3_range_medium_close_birds.mp4,0,1,404,436,453,460,manual
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f3_mini_e/eo/2_minie3_range_medium_close_birds.mp4,2,1,404,430,453,454,propagated:0.945
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f3_mini_e/eo/2_minie3_range_medium_close_birds.mp4,3,1,405,427,454,451,propagated:0.940
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f3_mini_e/eo/2_minie3_range_medium_close_birds.mp4,4,1,405,427,454,451,propagated:0.954
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f3_mini_e/eo/2_minie3_range_medium_close_birds.mp4,5,1,405,423,454,447,propagated:0.989
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f3_mini_e/eo/2_minie3_range_medium_close_birds.mp4,6,1,405,421,454,445,propagated:0.987
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f3_mini_e/eo/2_minie3_range_medium_close_birds.mp4,7,1,405,422,454,446,propagated:0.957
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f3_mini_e/eo/2_minie3_range_medium_close_birds.mp4,8,1,408,425,457,449,propagated:0.975
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f3_mini_e/eo/2_minie3_range_medium_close_birds.mp4,9,1,412,429,461,453,propagated:0.977
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f3_mini_e/eo/2_minie3_range_medium_close_birds.mp4,10,1,412,429,461,453,propagated:0.984
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f3_mini_e/eo/2_minie3_range_medium_close_birds.mp4,11,1,417,436,466,460,propagated:0.947
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f3_mini_e/eo/2_minie3_range_medium_close_birds.mp4,12,1,423,444,472,468,propagated:0.966
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f3_mini_e/eo/2_minie3_range_medium_close_birds.mp4,13,1,430,451,479,475,propagated:0.943
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f3_mini_e/eo/2_minie3_range_medium_close_birds.mp4,14,1,435,458,484,482,propagated:0.951
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f3_mini_e/eo/2_minie3_range_medium_close_birds.mp4,15,1,435,459,484,483,propagated:0.970
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f3_mini_e/eo/2_minie3_range_medium_close_birds.mp4,16,1,435,459,484,483,propagated:0.978
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f3_mini_e/eo/2_minie3_range_medium_close_birds.mp4,17,1,436,460,485,484,propagated:0.971
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f3_mini_e/eo/2_minie3_range_medium_close_birds.mp4,18,1,435,458,484,482,propagated:0.984
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f3_mini_e/eo/2_minie3_range_medium_close_birds.mp4,19,1,434,452,483,476,propagated:0.981
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f3_mini_e/eo/2_minie3_range_medium_close_birds.mp4,20,1,433,444,482,468,propagated:0.978
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f3_mini_e/eo/2_minie3_range_medium_close_birds.mp4,21,1,433,444,482,468,propagated:0.985
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f3_mini_e/eo/2_minie3_range_medium_close_birds.mp4,22,1,431,434,480,458,propagated:0.986
