source,frame_index,visible,x1,y1,x2,y2,note
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f2_dji_mavic_2/ir/9_dji2_range_medium.mp4,0,1,325,261,374,290,manual
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f2_dji_mavic_2/ir/9_dji2_range_medium.mp4,2,1,316,270,365,299,propagated:0.976
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f2_dji_mavic_2/ir/9_dji2_range_medium.mp4,3,1,308,277,357,306,propagated:0.943
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f2_dji_mavic_2/ir/9_dji2_range_medium.mp4,4,1,304,281,353,310,propagated:0.920
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f2_dji_mavic_2/ir/9_dji2_range_medium.mp4,5,1,299,281,348,310,propagated:0.920
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f2_dji_mavic_2/ir/9_dji2_range_medium.mp4,6,1,296,284,345,313,propagated:0.920
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f2_dji_mavic_2/ir/9_dji2_range_medium.mp4,7,1,296,284,345,313,propagated:0.937
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f2_dji_mavic_2/ir/9_dji2_range_medium.mp4,8,1,294,289,343,318,propagated:0.924
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f2_dji_mavic_2/ir/9_dji2_range_medium.mp4,9,1,291,289,340,318,propagated:0.932
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f2_dji_mavic_2/ir/9_dji2_range_medium.mp4,10,1,288,287,337,316,propagated:0.898
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f2_dji_mavic_2/ir/9_dji2_range_medium.mp4,11,1,287,287,336,316,propagated:0.909
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f2_dji_mavic_2/ir/9_dji2_range_medium.mp4,12,1,287,286,336,315,propagated:0.957
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f2_dji_mavic_2/ir/9_dji2_range_medium.mp4,13,1,287,286,336,315,propagated:0.959
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f2_dji_mavic_2/ir/9_dji2_range_medium.mp4,14,1,287,284,336,313,propagated:0.934
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f2_dji_mavic_2/ir/9_dji2_range_medium.mp4,15,1,287,281,336,310,propagated:0.943
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f2_dji_mavic_2/ir/9_dji2_range_medium.mp4,16,1,286,277,335,306,propagated:0.936
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f2_dji_mavic_2/ir/9_dji2_range_medium.mp4,17,1,283,274,332,303,propagated:0.938
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f2_dji_mavic_2/ir/9_dji2_range_medium.mp4,18,1,278,272,327,301,propagated:0.922
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f2_dji_mavic_2/ir/9_dji2_range_medium.mp4,19,1,278,272,327,301,propagated:0.938
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f2_dji_mavic_2/ir/9_dji2_range_medium.mp4,20,1,272,272,321,301,propagated:0.936
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f2_dji_mavic_2/ir/9_dji2_range_medium.mp4,21,1,264,267,313,296,propagated:0.939
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f2_dji_mavic_2/ir/9_dji2_range_medium.mp4,22,1,257,263,306,292,propagated:0.937
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f2_dji_mavic_2/ir/9_dji2_range_medium.mp4,23,1,256,264,305,293,propagated:0.951
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f2_dji_mavic_2/ir/9_dji2_range_medium.mp4,24,1,253,268,302,297,propagated:0.921
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f2_dji_mavic_2/ir/9_dji2_range_medium.mp4,25,1,253,268,302,297,propagated:0.935
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f2_dji_mavic_2/ir/9_dji2_range_medium.mp4,26,1,250,275,299,304,propagated:0.937
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f2_dji_mavic_2/ir/9_dji2_range_medium.mp4,27,1,247,281,296,310,propagated:0.938
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f2_dji_mavic_2/ir/9_dji2_range_medium.mp4,28,1,242,285,291,314,propagated:0.935
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f2_dji_mavic_2/ir/9_dji2_range_medium.mp4,29,1,236,284,285,313,propagated:0.941
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f2_dji_mavic_2/ir/9_dji2_range_medium.mp4,30,1,234,281,283,310,propagated:0.967
