source,frame_index,visible,x1,y1,x2,y2,note
/Users/bround/Documents/Projects/GimbalProject/test_videos/ir_batch/IR_DRONE_025.mp4,0,1,270,153,300,166,manual
/Users/bround/Documents/Projects/GimbalProject/test_videos/ir_batch/IR_DRONE_025.mp4,2,1,270,152,300,165,propagated:0.982
/Users/bround/Documents/Projects/GimbalProject/test_videos/ir_batch/IR_DRONE_025.mp4,3,1,270,152,300,165,propagated:0.953
/Users/bround/Documents/Projects/GimbalProject/test_videos/ir_batch/IR_DRONE_025.mp4,4,1,270,151,300,164,propagated:0.982
/Users/bround/Documents/Projects/GimbalProject/test_videos/ir_batch/IR_DRONE_025.mp4,5,1,269,150,299,163,propagated:0.981
/Users/bround/Documents/Projects/GimbalProject/test_videos/ir_batch/IR_DRONE_025.mp4,6,1,269,149,299,162,propagated:0.973
/Users/bround/Documents/Projects/GimbalProject/test_videos/ir_batch/IR_DRONE_025.mp4,7,1,269,149,299,162,propagated:0.977
/Users/bround/Documents/Projects/GimbalProject/test_videos/ir_batch/IR_DRONE_025.mp4,8,1,269,148,299,161,propagated:0.993
/Users/bround/Documents/Projects/GimbalProject/test_videos/ir_batch/IR_DRONE_025.mp4,9,1,269,147,299,160,propagated:0.979
/Users/bround/Documents/Projects/GimbalProject/test_videos/ir_batch/IR_DRONE_025.mp4,10,1,269,146,299,159,propagated:0.955
/Users/bround/Documents/Projects/GimbalProject/test_videos/ir_batch/IR_DRONE_025.mp4,11,1,268,146,298,159,propagated:0.975
/Users/bround/Documents/Projects/GimbalProject/test_videos/ir_batch/IR_DRONE_025.mp4,12,1,268,145,298,158,propagated:0.981
/Users/bround/Documents/Projects/GimbalProject/test_videos/ir_batch/IR_DRONE_025.mp4,13,1,268,145,298,158,propagated:0.950
/Users/bround/Documents/Projects/GimbalProject/test_videos/ir_batch/IR_DRONE_025.mp4,14,1,268,144,298,157,propagated:0.980
/Users/bround/Documents/Projects/GimbalProject/test_videos/ir_batch/IR_DRONE_025.mp4,15,1,267,143,297,156,propagated:0.979
/Users/bround/Documents/Projects/GimbalProject/test_videos/ir_batch/IR_DRONE_025.mp4,16,1,267,142,297,155,propagated:0.966
/Users/bround/Documents/Projects/GimbalProject/test_videos/ir_batch/IR_DRONE_025.mp4,17,1,267,142,297,155,propagated:0.971
/Users/bround/Documents/Projects/GimbalProject/test_videos/ir_batch/IR_DRONE_025.mp4,18,1,267,141,297,154,propagated:0.984
/Users/bround/Documents/Projects/GimbalProject/test_videos/ir_batch/IR_DRONE_025.mp4,19,1,267,140,297,153,propagated:0.969
/Users/bround/Documents/Projects/GimbalProject/test_videos/ir_batch/IR_DRONE_025.mp4,20,1,266,140,296,153,propagated:0.946
/Users/bround/Documents/Projects/GimbalProject/test_videos/ir_batch/IR_DRONE_025.mp4,21,1,266,139,296,152,propagated:0.984
/Users/bround/Documents/Projects/GimbalProject/test_videos/ir_batch/IR_DRONE_025.mp4,22,1,266,138,296,151,propagated:0.985
/Users/bround/Documents/Projects/GimbalProject/test_videos/ir_batch/IR_DRONE_025.mp4,23,1,266,138,296,151,propagated:0.954
