source,frame_index,visible,x1,y1,x2,y2,note
/Users/bround/Desktop/Датасеты/Drone-detection-dataset-master/Data/Video_V/V_BIRD_030.mp4,0,1,331,223,337,229,manual
/Users/bround/Desktop/Датасеты/Drone-detection-dataset-master/Data/Video_V/V_BIRD_030.mp4,2,1,332,222,338,228,propagated:0.941
/Users/bround/Desktop/Датасеты/Drone-detection-dataset-master/Data/Video_V/V_BIRD_030.mp4,3,1,332,221,338,227,propagated:0.949
/Users/bround/Desktop/Датасеты/Drone-detection-dataset-master/Data/Video_V/V_BIRD_030.mp4,4,1,333,220,339,226,propagated:0.942
/Users/bround/Desktop/Датасеты/Drone-detection-dataset-master/Data/Video_V/V_BIRD_030.mp4,5,1,333,219,339,225,propagated:0.829
/Users/bround/Desktop/Датасеты/Drone-detection-dataset-master/Data/Video_V/V_BIRD_030.mp4,6,1,334,218,340,224,propagated:0.912
/Users/bround/Desktop/Датасеты/Drone-detection-dataset-master/Data/Video_V/V_BIRD_030.mp4,7,1,335,217,341,223,propagated:0.930
/Users/bround/Desktop/Датасеты/Drone-detection-dataset-master/Data/Video_V/V_BIRD_030.mp4,8,1,335,217,341,223,propagated:0.968
/Users/bround/Desktop/Датасеты/Drone-detection-dataset-master/Data/Video_V/V_BIRD_030.mp4,9,1,336,216,342,222,propagated:0.911
/Users/bround/Desktop/Датасеты/Drone-detection-dataset-master/Data/Video_V/V_BIRD_030.mp4,10,1,336,215,342,221,propagated:0.944
/Users/bround/Desktop/Датасеты/Drone-detection-dataset-master/Data/Video_V/V_BIRD_030.mp4,11,1,337,214,343,220,propagated:0.907
/Users/bround/Desktop/Датасеты/Drone-detection-dataset-master/Data/Video_V/V_BIRD_030.mp4,12,1,337,213,343,219,propagated:0.937
/Users/bround/Desktop/Датасеты/Drone-detection-dataset-master/Data/Video_V/V_BIRD_030.mp4,13,1,338,212,344,218,propagated:0.948
/Users/bround/Desktop/Датасеты/Drone-detection-dataset-master/Data/Video_V/V_BIRD_030.mp4,14,1,339,211,345,217,propagated:0.950
