source,frame_index,visible,x1,y1,x2,y2,note
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f1_dji_mavic_2/eo/f1_3_EO_dji_mavic_2_occlusion_far.mp4,0,1,520,291,551,304,manual
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f1_dji_mavic_2/eo/f1_3_EO_dji_mavic_2_occlusion_far.mp4,1,1,515,283,544,296,manual
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f1_dji_mavic_2/eo/f1_3_EO_dji_mavic_2_occlusion_far.mp4,2,1,505,272,536,286,manual
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f1_dji_mavic_2/eo/f1_3_EO_dji_mavic_2_occlusion_far.mp4,3,1,495,263,526,277,manual
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f1_dji_mavic_2/eo/f1_3_EO_dji_mavic_2_occlusion_far.mp4,4,1,485,250,515,262,manual
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f1_dji_mavic_2/eo/f1_3_EO_dji_mavic_2_occlusion_far.mp4,6,1,470,240,500,252,propagated:0.974
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f1_dji_mavic_2/eo/f1_3_EO_dji_mavic_2_occlusion_far.mp4,7,1,458,231,488,243,propagated:0.941
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f1_dji_mavic_2/eo/f1_3_EO_dji_mavic_2_occlusion_far.mp4,8,1,450,223,480,235,propagated:0.971
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f1_dji_mavic_2/eo/f1_3_EO_dji_mavic_2_occlusion_far.mp4,9,1,441,217,471,229,propagated:0.953
/Users/bround/Desktop/Датасеты/Dataset_Mendeley_data/Unlabelled _UAV_Videos/Flight Test 1/FT1_segments_of_interest/f1_dji_mavic_2/eo/f1_3_EO_dji_mavic_2_occlusion_far.mp4,10,1,433,210,463,222,propagated:0.931
