source,frame_index,visible,x1,y1,x2,y2,note
/Users/bround/Documents/Projects/GimbalProject/test_videos/f2_13_IR_dji_mavic_2.mp4,3,1,240,267,268,280,manual
/Users/bround/Documents/Projects/GimbalProject/test_videos/f2_13_IR_dji_mavic_2.mp4,4,1,237,267,265,280,propagated:0.935
/Users/bround/Documents/Projects/GimbalProject/test_videos/f2_13_IR_dji_mavic_2.mp4,5,1,236,267,264,280,propagated:0.942
/Users/bround/Documents/Projects/GimbalProject/test_videos/f2_13_IR_dji_mavic_2.mp4,6,1,236,267,264,280,propagated:0.923
/Users/bround/Documents/Projects/GimbalProject/test_videos/f2_13_IR_dji_mavic_2.mp4,7,1,236,266,264,279,propagated:0.950
/Users/bround/Documents/Projects/GimbalProject/test_videos/f2_13_IR_dji_mavic_2.mp4,8,1,236,266,264,279,propagated:0.960
/Users/bround/Documents/Projects/GimbalProject/test_videos/f2_13_IR_dji_mavic_2.mp4,9,1,235,266,263,279,propagated:0.971
/Users/bround/Documents/Projects/GimbalProject/test_videos/f2_13_IR_dji_mavic_2.mp4,10,1,233,265,261,278,propagated:0.945
/Users/bround/Documents/Projects/GimbalProject/test_videos/f2_13_IR_dji_mavic_2.mp4,11,1,231,265,259,278,propagated:0.973
/Users/bround/Documents/Projects/GimbalProject/test_videos/f2_13_IR_dji_mavic_2.mp4,12,1,229,266,257,279,propagated:0.956
/Users/bround/Documents/Projects/GimbalProject/test_videos/f2_13_IR_dji_mavic_2.mp4,13,1,227,265,255,278,propagated:0.977
/Users/bround/Documents/Projects/GimbalProject/test_videos/f2_13_IR_dji_mavic_2.mp4,14,1,227,265,255,278,propagated:0.968
/Users/bround/Documents/Projects/GimbalProject/test_videos/f2_13_IR_dji_mavic_2.mp4,15,1,226,265,254,278,propagated:0.990
/Users/bround/Documents/Projects/GimbalProject/test_videos/f2_13_IR_dji_mavic_2.mp4,16,1,225,265,253,278,propagated:0.986
/Users/bround/Documents/Projects/GimbalProject/test_videos/f2_13_IR_dji_mavic_2.mp4,17,1,225,264,253,277,propagated:0.952
/Users/bround/Documents/Projects/GimbalProject/test_videos/f2_13_IR_dji_mavic_2.mp4,18,1,224,264,252,277,propagated:0.979
/Users/bround/Documents/Projects/GimbalProject/test_videos/f2_13_IR_dji_mavic_2.mp4,19,1,223,263,251,276,propagated:0.968
/Users/bround/Documents/Projects/GimbalProject/test_videos/f2_13_IR_dji_mavic_2.mp4,20,1,222,263,250,276,propagated:0.985
/Users/bround/Documents/Projects/GimbalProject/test_videos/f2_13_IR_dji_mavic_2.mp4,21,1,220,263,248,276,propagated:0.991
/Users/bround/Documents/Projects/GimbalProject/test_videos/f2_13_IR_dji_mavic_2.mp4,22,1,218,263,246,276,propagated:0.989
/Users/bround/Documents/Projects/GimbalProject/test_videos/f2_13_IR_dji_mavic_2.mp4,23,1,217,263,245,276,propagated:0.991
/Users/bround/Documents/Projects/GimbalProject/test_videos/f2_13_IR_dji_mavic_2.mp4,24,1,216,263,244,276,propagated:0.979
/Users/bround/Documents/Projects/GimbalProject/test_videos/f2_13_IR_dji_mavic_2.mp4,25,1,216,263,244,276,propagated:0.974
/Users/bround/Documents/Projects/GimbalProject/test_videos/f2_13_IR_dji_mavic_2.mp4,26,1,215,262,243,275,propagated:0.978
/Users/bround/Documents/Projects/GimbalProject/test_videos/f2_13_IR_dji_mavic_2.mp4,27,1,216,262,244,275,propagated:0.986
/Users/bround/Documents/Projects/GimbalProject/test_videos/f2_13_IR_dji_mavic_2.mp4,28,1,215,262,243,275,propagated:0.983
/Users/bround/Documents/Projects/GimbalProject/test_videos/f2_13_IR_dji_mavic_2.mp4,29,1,215,262,243,275,propagated:0.993
/Users/bround/Documents/Projects/GimbalProject/test_videos/f2_13_IR_dji_mavic_2.mp4,30,1,214,261,242,274,propagated:0.979
/Users/bround/Documents/Projects/GimbalProject/test_videos/f2_13_IR_dji_mavic_2.mp4,31,1,214,261,242,274,propagated:0.970
/Users/bround/Documents/Projects/GimbalProject/test_videos/f2_13_IR_dji_mavic_2.mp4,32,1,214,262,242,275,propagated:0.967
/Users/bround/Documents/Projects/GimbalProject/test_videos/f2_13_IR_dji_mavic_2.mp4,33,1,214,262,242,275,propagated:0.973
/Users/bround/Documents/Projects/GimbalProject/test_videos/f2_13_IR_dji_mavic_2.mp4,34,1,214,261,242,274,propagated:0.988
/Users/bround/Documents/Projects/GimbalProject/test_videos/f2_13_IR_dji_mavic_2.mp4,35,1,214,262,242,275,propagated:0.977
